DATE,DFF
2010-01-01,0.09571428571428571429
2010-01-08,0.09571428571428571429
2010-01-15,0.11142857142857142857
2010-01-22,0.12142857142857142857
2010-01-29,0.11714285714285714286
2010-02-05,0.13142857142857142857
2010-02-12,0.12571428571428571429
2010-02-19,0.12285714285714285714
2010-02-26,0.12285714285714285714
2010-03-05,0.14571428571428571429
2010-03-12,0.15571428571428571429
2010-03-19,0.18285714285714285714
2010-03-26,0.17428571428571428571
2010-04-02,0.16000000000000000000
2010-04-09,0.19571428571428571429
2010-04-16,0.20000000000000000000
2010-04-23,0.20285714285714285714
2010-04-30,0.19857142857142857143
2010-05-07,0.20285714285714285714
2010-05-14,0.20000000000000000000
2010-05-21,0.20285714285714285714
2010-05-28,0.20142857142857142857
2010-06-04,0.19285714285714285714
2010-06-11,0.18571428571428571429
2010-06-18,0.18428571428571428571
2010-06-25,0.17142857142857142857
2010-07-02,0.15428571428571428571
2010-07-09,0.17857142857142857143
2010-07-16,0.17857142857142857143
2010-07-23,0.18571428571428571429
2010-07-30,0.19000000000000000000
2010-08-06,0.18571428571428571429
2010-08-13,0.18000000000000000000
2010-08-20,0.19428571428571428571
2010-08-27,0.19285714285714285714
2010-09-03,0.19285714285714285714
2010-09-10,0.18857142857142857143
2010-09-17,0.19428571428571428571
2010-09-24,0.20714285714285714286
2010-10-01,0.19142857142857142857
2010-10-08,0.19285714285714285714
2010-10-15,0.18428571428571428571
2010-10-22,0.19285714285714285714
2010-10-29,0.19142857142857142857
2010-11-05,0.19571428571428571429
2010-11-12,0.17714285714285714286
2010-11-19,0.20142857142857142857
2010-11-26,0.20142857142857142857
2010-12-03,0.19571428571428571429
2010-12-10,0.17142857142857142857
2010-12-17,0.18285714285714285714
2010-12-24,0.19714285714285714286
2010-12-31,0.17857142857142857143
2011-01-07,0.16428571428571428571
2011-01-14,0.16571428571428571429
2011-01-21,0.17142857142857142857
2011-01-28,0.17142857142857142857
2011-02-04,0.17285714285714285714
2011-02-11,0.16000000000000000000
2011-02-18,0.15142857142857142857
2011-02-25,0.15000000000000000000
2011-03-04,0.15285714285714285714
2011-03-11,0.14142857142857142857
2011-03-18,0.13857142857142857143
2011-03-25,0.14000000000000000000
2011-04-01,0.12285714285714285714
2011-04-08,0.09857142857142857143
2011-04-15,0.09142857142857142857
2011-04-22,0.10714285714285714286
2011-04-29,0.09428571428571428571
2011-05-06,0.09000000000000000000
2011-05-13,0.09000000000000000000
2011-05-20,0.09428571428571428571
2011-05-27,0.09714285714285714286
2011-06-03,0.10142857142857142857
2011-06-10,0.09714285714285714286
2011-06-17,0.09714285714285714286
2011-06-24,0.09000000000000000000
2011-07-01,0.07714285714285714286
2011-07-08,0.07571428571428571429
2011-07-15,0.06428571428571428571
2011-07-22,0.06000000000000000000
2011-07-29,0.07142857142857142857
2011-08-05,0.12000000000000000000
2011-08-12,0.09428571428571428571
2011-08-19,0.09428571428571428571
2011-08-26,0.08571428571428571429
2011-09-02,0.08428571428571428571
2011-09-09,0.08571428571428571429
2011-09-16,0.08857142857142857143
2011-09-23,0.08571428571428571429
2011-09-30,0.07714285714285714286
2011-10-07,0.06857142857142857143
2011-10-14,0.07000000000000000000
2011-10-21,0.07000000000000000000
2011-10-28,0.07142857142857142857
2011-11-04,0.08000000000000000000
2011-11-11,0.08000000000000000000
2011-11-18,0.08142857142857142857
2011-11-25,0.08142857142857142857
2011-12-02,0.08000000000000000000
2011-12-09,0.07714285714285714286
2011-12-16,0.07000000000000000000
2011-12-23,0.07142857142857142857
2011-12-30,0.07000000000000000000
2012-01-06,0.05714285714285714286
2012-01-13,0.07857142857142857143
2012-01-20,0.09142857142857142857
2012-01-27,0.08714285714285714286
2012-02-03,0.10142857142857142857
2012-02-10,0.11142857142857142857
2012-02-17,0.11428571428571428571
2012-02-24,0.08857142857142857143
2012-03-02,0.10000000000000000000
2012-03-09,0.11142857142857142857
2012-03-16,0.12857142857142857143
2012-03-23,0.14714285714285714286
2012-03-30,0.13000000000000000000
2012-04-06,0.12857142857142857143
2012-04-13,0.14428571428571428571
2012-04-20,0.14428571428571428571
2012-04-27,0.13285714285714285714
2012-05-04,0.14857142857142857143
2012-05-11,0.15571428571428571429
2012-05-18,0.15714285714285714286
2012-05-25,0.15571428571428571429
2012-06-01,0.15571428571428571429
2012-06-08,0.16428571428571428571
2012-06-15,0.17000000000000000000
2012-06-22,0.17142857142857142857
2012-06-29,0.15142857142857142857
2012-07-06,0.14857142857142857143
2012-07-13,0.17428571428571428571
2012-07-20,0.16428571428571428571
2012-07-27,0.14000000000000000000
2012-08-03,0.13857142857142857143
2012-08-10,0.13428571428571428571
2012-08-17,0.13000000000000000000
2012-08-24,0.13000000000000000000
2012-08-31,0.13142857142857142857
2012-09-07,0.14285714285714285714
2012-09-14,0.15142857142857142857
2012-09-21,0.15714285714285714286
2012-09-28,0.14142857142857142857
2012-10-05,0.13571428571428571429
2012-10-12,0.15571428571428571429
2012-10-19,0.15714285714285714286
2012-10-26,0.15857142857142857143
2012-11-02,0.16714285714285714286
2012-11-09,0.16142857142857142857
2012-11-16,0.16000000000000000000
2012-11-23,0.16000000000000000000
2012-11-30,0.16000000000000000000
2012-12-07,0.16142857142857142857
2012-12-14,0.16428571428571428571
2012-12-21,0.16857142857142857143
2012-12-28,0.17285714285714285714
2013-01-04,0.14571428571428571429
2013-01-11,0.15000000000000000000
2013-01-18,0.14142857142857142857
2013-01-25,0.14000000000000000000
2013-02-01,0.13571428571428571429
2013-02-08,0.13428571428571428571
2013-02-15,0.14142857142857142857
